school,road,from,to,oddeven,comment
LES,ABBY DR,,,
LES,ABELIA CT,,,
BF,ADAMS LANE,,,
LES,ADELE CT,,,
LES,ALBEMARLE RD,,,
SL,ALBURTUS CT,,,
BF,ALCAZAR AVE,,,
EP,ALEXANDRIA CT,,,
EP,ALLEGHENY AVE,,,
BF,ALLEN LANE,,,
BF,ALLWOOD DR,,,
EP,ALTAMAWR AVE,,,
BF,ALYCE CT,,,
BF,AMERICAN EAGLE CT,,,
LES,ANDERSON LANE,,,
BF,ANDREW DR,,,
EP,ANTHONY LANE,,,
BF,ARCADIA AVE,,,
LES,ARDISIA CT,,,
LES,ARDMORE AVE,,,
SL,ARTHUR PL,,,
LES,ASHLEIGH DR,,,
LES,ASHWOOD CT,,,
BF,AVALON BAY DR,,,
BF,AVALON WAY,,,
LES,AZALEA CT,,,
LES,BAKERS BASIN RD,,,
BF,BAKER ST,,,
BF,BALSAM CT,,,
BF,BANNISTER DR,,,
LES,BARBERRY CT,,,
LES,BARCLAY CT,,,
BF,BARNETT RD,,,
LES,BASIN RD,,,
BF,BAYLESS DR,,,
EP,BEARFORT WAY,,,
LES,BELLEVIEW TERR,,,
LES,BENEDEK RD,,,
BF,BENNINGTON DR,,,
LES,BERGEN ST,,,
EP,BERWYN PL,,,
SL,BETTS AVE,,,
EP,BIRCHWOOD KNOLL ROAD,,,
LES,BLACK RD,,,
LES,BLACKWELL RD,,,
EP,BONNIE CT,,,
EP,BRAMBLE CT,,,
LES,BRANCHWOOD CT,,,
BF,BRANDON RD,3,14,
EP,BREARLEY AVE,,,
SL,BRECKENRIDGE PL,,,
BF,BRENTWOOD LANE,,,
BF,BRIDLE PATH,,,
SL,BRITTON CT,,,
BF,BROMLEY CT,,,
LES,BROOKDALE DR,,,
EP,BROOKWAY RD,,,
SL,BRUNSWICK AVE,1005,2750,
BF,BRUNSWICK AVE,2751,3371,
SL,BRUNSWICK AVE,3000,3000,
SL,BRUNSWICK CIRCLE,,,
SL,BRUNSWICK CIRCLE EXTENSION,,,
BF,BUCKINGHAM DR,,,
SL,BUNKER HILL AVE,,,
EP,BUNKER HILL RD,,,
EP,BURNING TREE LANE,,,
SL,CAMBRIDGE AVE,,,
BF,CAMELIA CT,,,
LES,CAMPUS HILL,,,
BF,CANAL VIEW DR,,,
