school	street	number
SL	SIMONELLI CT	*
EP	TWIN OAKS DR	*
BF	VACCARO RD	*
LES	VALERIE LANE	*
SL	VALLEY FORGE AVE	*
SL	VAN ARSDALE AVE	*
SL	VAN BUREN PLACE	*
EP	VANDERVEER DR	*
LES	VAN KIRK RD	*
SL	VERMONT ST	11
SL	VERMONT ST	12
SL	VERMONT ST	13
SL	VERMONT ST	14
SL	VERMONT ST	15
SL	VERMONT ST	16
SL	VERMONT ST	17
SL	VERMONT ST	18
SL	VERMONT ST	19
SL	VERMONT ST	20
SL	VERMONT ST	21
SL	VERMONT ST	22
SL	VERMONT ST	23
SL	VERMONT ST	24
SL	VERMONT ST	25
SL	VERMONT ST	26
SL	VERMONT ST	27
SL	VERMONT ST	28
SL	VERMONT ST	29
SL	VERMONT ST	30
SL	VERMONT ST	31
SL	VERMONT ST	32
SL	VERMONT ST	33
SL	VERMONT ST	34
SL	VERMONT ST	35
SL	VERMONT ST	36
SL	VERMONT ST	37
SL	VERMONT ST	38
SL	VERMONT ST	39
SL	VERMONT ST	40
SL	VERMONT ST	41
SL	VERMONT ST	42
SL	VERMONT ST	43
SL	VERMONT ST	44
SL	VERMONT ST	45
SL	VERMONT ST	46
SL	VERMONT ST	47
SL	VERMONT ST	48
SL	VERMONT ST	49
SL	VERMONT ST	50
SL	VERMONT ST	51
SL	VERMONT ST	52
SL	VERMONT ST	53
SL	VERMONT ST	54
SL	VERMONT ST	55
SL	VERMONT ST	56
SL	VERMONT ST	57
SL	VERMONT ST	58
SL	VERMONT ST	59
SL	VERMONT ST	60
SL	VERMONT ST	61
SL	VERMONT ST	62
SL	VERMONT ST	63
SL	VERMONT ST	64
SL	VERMONT ST	65
SL	VERMONT ST	66
SL	VERMONT ST	67
SL	VERMONT ST	68
SL	VERMONT ST	69
SL	VERMONT ST	70
SL	VERMONT ST	71
SL	VERMONT ST	72
SL	VERMONT ST	73
SL	VERMONT ST	74
SL	VERMONT ST	75
LES	VIBURNUM CT	*
LES	VILLAGE CT	*
SL	VILLANOVA DR	*
BF	VINCH AVE	*
LES	VISTA DR	*
SL	VOSCEK CT	*
EP	WAYSIDE LANE	*
BF	WELLSLEY CT	*
BF	WELLSLEY WAY	*
BF	WENCZEL DR	*
EP	WEST CHURCH RD	*
BF	WESTFIELD CT	*
LES	W LAUREL WOOD DR	*
EP	WEST LONG DR	*
BF	WEXFORD DR	*
SL	WHITEHEAD RD EXT	*
EP	WHITEMARSH DR	*
EP	WHITE PINE CR	*
LES	WILDBRIAR LANE	*
LES	WILK CT	*
LES	WILLOW RD	*
BF	WILTSHIRE DR	*
SL	WINCHESTER AVE	*
EP	WINDWOOD RD	*
SL	WINNIPEG LANE	*
BF	WINTHROP RD	*
SL	WITTENBORN DR	*
LES	WOODBURY LANE	*
LES	WOODFIELD LANE	*
LES	WOODLANE RD	*
BF	WOODMONT DR	*
LES	WOODS DRIVE EAST/ 	*
LES	WEST (LVLLE PREP)	*
SL	WOSNIAK CT	*
LES	YEGER DR	*
BF	YORKSHIRE VILLAGE RD	*
LES	YOUNGS RD (No Homes)	*
BF	ZOAR ST	40
BF	ZOAR ST	41
BF	ZOAR ST	42
BF	ZOAR ST	43
BF	ZOAR ST	44
BF	ZOAR ST	45
BF	ZOAR ST	46
BF	ZOAR ST	47
BF	ZOAR ST	48
BF	ZOAR ST	49
BF	ZOAR ST	50
BF	ZOAR ST	51
BF	ZOAR ST	52
BF	ZOAR ST	53
BF	ZOAR ST	54
BF	ZOAR ST	55
BF	ZOAR ST	56
BF	ZOAR ST	57
BF	ZOAR ST	58
BF	ZOAR ST	59
BF	ZOAR ST	60
BF	ZOAR ST	61
BF	ZOAR ST	62
BF	ZOAR ST	63
BF	ZOAR ST	64
BF	ZOAR ST	65
BF	ZOAR ST	66
BF	ZOAR ST	67
BF	ZOAR ST	68
BF	ZOAR ST	69
BF	ZOAR ST	70
BF	ZOAR ST	71
BF	ZOAR ST	72
BF	ZOAR ST	73
BF	ZOAR ST	74
BF	ZOAR ST	75
BF	ZOAR ST	76
BF	ZOAR ST	77
BF	ZOAR ST	78
BF	ZOAR ST	79
BF	ZOAR ST	80
BF	ZOAR ST	81
BF	ZOAR ST	82
BF	ZOAR ST	83
BF	ZOAR ST	84
BF	ZOAR ST	85
BF	ZOAR ST	86
BF	ZOAR ST	87
BF	ZOAR ST	88
BF	ZOAR ST	89
BF	ZOAR ST	90
BF	ZOAR ST	91
BF	ZOAR ST	92
BF	ZOAR ST	93
BF	ZOAR ST	94
BF	ZOAR ST	95
BF	ZOAR ST	96
BF	ZOAR ST	97
BF	ZOAR ST	98
BF	ZOAR ST	99
BF	ZOAR ST	100
BF	ZOAR ST	101
BF	ZOAR ST	102
BF	ZOAR ST	103
BF	ZOAR ST	104
BF	ZOAR ST	105
BF	ZOAR ST	106
BF	ZOAR ST	107
BF	ZOAR ST	108
BF	ZOAR ST	109
BF	ZOAR ST	110
BF	ZOAR ST	111
BF	ZOAR ST	112
BF	ZOAR ST	113
BF	ZOAR ST	114
BF	ZOAR ST	115
BF	ZOAR ST	116
BF	ZOAR ST	117
BF	ZOAR ST	118
BF	ZOAR ST	119
BF	ZOAR ST	120
BF	ZOAR ST	121
BF	ZOAR ST	122
BF	ZOAR ST	123
BF	ZOAR ST	124
BF	ZOAR ST	125
BF	ZOAR ST	126
BF	ZOAR ST	127
BF	ZOAR ST	128
BF	ZOAR ST	129
BF	ZOAR ST	130
BF	ZOAR ST	131
BF	ZOAR ST	132
BF	ZOAR ST	133
BF	ZOAR ST	134
BF	ZOAR ST	135
BF	ZOAR ST	136
BF	ZOAR ST	137
BF	ZOAR ST	138
BF	ZOAR ST	139
BF	ZOAR ST	140
BF	ZOAR ST	141
BF	ZOAR ST	142
BF	ZOAR ST	143
BF	ZOAR ST	144
BF	ZOAR ST	145
BF	ZOAR ST	146
BF	ZOAR ST	147
BF	ZOAR ST	148
BF	ZOAR ST	149
BF	ZOAR ST	150
BF	ZOAR ST	151
BF	ZOAR ST	152
BF	ZOAR ST	153
BF	ZOAR ST	154
BF	ZOAR ST	155
BF	ZOAR ST	156
BF	ZOAR ST	157
BF	ZOAR ST	158
BF	ZOAR ST	159
BF	ZOAR ST	160
BF	ZOAR ST	161
BF	ZOAR ST	162
BF	ZOAR ST	163
BF	ZOAR ST	164
BF	ZOAR ST	165
BF	ZOAR ST	166
BF	ZOAR ST	167
BF	ZOAR ST	168
BF	ZOAR ST	169
BF	ZOAR ST	170
BF	ZOAR ST	171
BF	ZOAR ST	172
BF	ZOAR ST	173
BF	ZOAR ST	174
BF	ZOAR ST	175
BF	ZOAR ST	176
BF	ZOAR ST	177
BF	ZOAR ST	178
BF	ZOAR ST	179
BF	ZOAR ST	180
BF	ZOAR ST	181
BF	ZOAR ST	182
BF	ZOAR ST	183
BF	ZOAR ST	184
BF	ZOAR ST	185
BF	ZOAR ST	186
