school,road,from,to,oddeven
BF,AVALON BAY DR,,,
BF,AVALON WAY,,,
BF,BRENTWOOD LANE,,,
BF,CEDAR CT,,,
BF,CEDAR DR,,,
BF,CHERRY BLOSSOM CT,,,
BF,COLTS LANE,,,
BF,DUMONT CT,,,
BF,EAGLE CHASE DR,,,
BF,EAST RUN DR,,,
BF,ELM CT,,,
BF,FLANNIGAN ST,,,
BF,GERVIN RD,,,
BF,HAWK RD,,,
BF,HEATHER CT,,,
BF,IRIS ST,,,
BF,JOHNSON ALLEY,,,
BF,LAWRENCEVILLE RD,10,202,odds
BF,MAPLELEAF DR,,,
BF,MORROW LANE,,,
BF,OWLS WAY,,,
BF,PALM CT,,,
BF,PALM ST,,,
BF,PEACHTREE CT,,,
BF,PEACHTREE DR,,,
BF,POLONIA CT,,,
BF,ROUTE US HWY 1,2751,3371,odd
BF,SHORT ST,,,
BF,TOWN CT,,,
EP,BRAMBLE CT,,,
EP,BROOKWAY RD,,,
EP,CREEKSIDE CT,,,
EP,EGGERTS CROSSING RD,20,372,
EP,ELMO AVE,,,
EP,FIELDCREST CT,,,
EP,FOXTAIL CT,,,
EP,GROVE AVE,,,
EP,JASPER AVE,,,
EP,LANNIGAN AVE,,,
EP,MERLINE AVE,,,
EP,PIEDMONT AVE,,,
EP,RUBERT AVE,,,
EP,SETH CT,,,
EP,SHELMET RD,,,
EP,SNYDER AVE,,,
EP,STELLA DR,,,
EP,STEWARDS CRSSNG CIRCLE,,,
EP,STEWARDS CRSSNG WAY,,,
LES,ARDMORE AVE,,,
LES,BLACKWELL RD,,,
LES,CAMPUS HILL,,,
LES,CARVER PL,,,
LES,COLDSOIL RD,,,
LES,EDGEHILL AVE,,,
LES,FRED VEREEN JR. RD,,,
LES,HUMPHREYS DR,,,
LES,LAWRENCEVILLE RD,20,202,even
LES,MANOR BLVD,,,
LES,MYA DR,,,
LES,NORTHFIELD CT,,,
LES,SANTINA DR,,,
LES,SHIRLEY LANE,,,
LES,STONY CREEK PLACE,,,
LES,TIOGA AVE,,,
SL,CARTER ST,,,
SL,DREWS CT,,,
SL,DUNN ALLEY,,,
SL,FREEDOM BLVD,,,
SL,FREEDOM CT,,,
SL,HAVESON AVE,,,
SL,HOPE ST,,,
SL,HOPEWELL AVE,,,
SL,LAKE CT,,,
SL,LAWRENCE SQ BLVD,,,
SL,MAPLEWOOD AVE,,,
SL,MEADOW WOODS LANE,,,
SL,MYRTLE AVE,,,
SL,NATHAN HALE DR,,,
SL,ONEIL CT,,,
SL,REED CT,,,
SL,ROUTE US HWY 1,0,3371,even
SL,STREAM DR,,,
