school,street
BF,AVALON BAY DR
BF,CEDAR CT
BF,COLTS LANE
BF,EAGLE CHASE DR
BF,FLANNIGAN ST
BF,IRIS ST
BF,JOHNSON ALLEY
BF,MAPLELEAF DR
BF,MORROW LANE
BF,OWLS WAY
BF,PALM ST
BF,PEACHTREE CT
BF,PEACHTREE DR
BF,POLONIA CT
EP,BROOKWAY RD
EP,LANNIGAN AVE
EP,RUBERT AVE
EP,SHELMET RD
EP,SNYDER AVE
EP,STEWARDS CRSSNG CIRCLE
EP,STEWARDS CRSSNG WAY
LES,CAMPUS HILL
LES,COLDSOIL RD
LES,FRED VEREEN JR. RD
LES,NORTHFIELD CT
LES,SANTINA DR
LES,STONY CREEK PLACE
SL,DREWS CT
SL,FREEDOM BLVD
SL,FREEDOM CT
SL,MEADOW WOODS LANE
SL,NATHAN HALE DR
SL,STREAM DR
