'image/svg+xmlSCHOOL',
'LES','ABBY DR',
'LES','ABELIA CT',
'BF','ADAMS LANE',
'LES','ADELE CT',
'LES','ALBERMARLE RD',
'SL','ALBURTUS CT',
'BF','ALCAZAR AVE',
'EP','ALEXANDRIA CT',
'EP','ALLEGHENY AVE',
'BF','ALLEN LANE',
'BF','ALLWOOD DR',
'EP','ALTAMAWR AVE',
'BF','ALYCE CT',
'BF','AMERICAN EAGLE CT',
'LES','ANDERSON LANE',
'BF','ANDREW DR',
'EP','ANTHONY LANE',
'BF','ARCADIA AVE',
'LES','ARDISIA CT',
'LES','ARDMORE AVE',
'SL','ARTHUR PL',
'LES','ASHLEIGH DR',
'LES','ASHWOOD CT',
'BF','AVALON WAY',
'BF','AVALON BAY DR',
'LES','AZALEA CT',
'BF','BAKER ST',
'LES','BAKERS BASIN RD',
'BF','BALSAM CT',
'BF','BALSAM DR',
'BF','BANNISTER DR',
'LES','BARBERRY CT',
'LES','BARCLAY CT',
'BF','BARNETT RD',
'LES','BASIN RD (No Homes)',
'BF','BAYLESS DR',
'EP','BEARFORT WAY',
'LES','BELLEVIEW TERR',
'LES','BENEDEK RD',
'BF','BENNINGTON DR',
'LES','BERGEN ST',
'EP','BERWYN PL',
'SL','BETTS AVE',
'EP','BIRCHWOOD KNOLL',
'LES','BLACK RD',
'LES','BLACKWELL RD (No Homes)',
'EP','BONNIE CT',
'EP','BRAMBLE CT',
'LES','BRANCHWOOD CT',
'BF','BRANDON RD (#3- #14)',
