'image/svg+xmlLawrence Township Public Schools',
'LES','GREEN AVE',
'EP','GREENFIELD AVE',
'LES','GREENWOOD AVE',
'EP','GROVE AVE',
'BF','GROVERS MILL RD',
'BF','HAMILTON CT',
'EP','HARDING AVE',
'SL','HARMONY AVE',
'SL','HARRIS CT',
'SL','HAVESON AVE',
'BF','HAWK RD',
'BF','HAWTHORNE PL',
'BF','HAZELHURST AVE',
'BF','HEATHER CT',
'LES','HEDGE ROW CT',
'SL','HELEN AVE',
'BF','HEMLOCK CT',
'LES','HENDRICKSON RD',
'EP','HERITAGE WAY',
'BF','HIGHLAND RD',
'LES','HILLCREST AVE',
'EP','HILLSDALE RD',
'LES','HIGHFIELD CT',
'LES','HOLLY LANE',
'EP','HOOVER AVE',
'SL','HOPATCONG DR',
'SL','HOPE ST',
'SL','HOPEWELL AVE',
'BF','HOPKINS DR',
'EP','HUGHES AVE',
'LES','HUMPHREY'S DR',
'SL','HURON WAY',
'BF','HYDE CT',
'LES','INDIAN RUN',
'SL','INDIANA AVE ','(#1333,1336,1503,1505)',
'BF','IRIS ST',
'EP','IRWIN PLACE',
'LES','IVY GLEN LANE',
'BF','JACKIE DR',
'LES','JAMES ST',
'LES','JASMINE CT',
'EP','JASPER AVE',
'BF','JILL LANE',
'LES','JOCHRIS DR',
'EP','JOFFRE AVE',
'BF','JOHNSON AVE',
'BF','JOHNSON ALLEY',
'LES','JOHNSON AVE 175APT','updated:5/4/2016',
