school,road,from,to,oddeven
EP,JOHNSON RD,,,
SL,JOYNER CT,,,
LES,JUNIPER CT,,,
EP,J RUSSEL SMITH RD,,,
EP,KARENA LANE,,,
LES,KEEFE RD,,,
EP,KENT CT,,,
EP,KETTERER CT,,,
BF,KINGS RD,,,
SL,KITE CT,,,
BF,KLOCKNER CT,,,
BF,KNOX CT,,,
SL,LAKE DR/CT,,,
SL,LAKEDALE DR,,,
BF,LANDFALL LANE,,,
LES,LANDOVER RD,,,
EP,LANNIGAN AVE,,,
SL,LANNING AVE,,,
BF,LARKSPUR LANE,,,
SL,LATTA CT,,,
LES,LAUREL WOOD DR,,,
LES,LAUREL WOOD DR W,,,
EP,LAWN PARK AVE,,,
EP,LAWNSIDE DR,,,
EP,LAWRENCE AVE,,,
SL,LAWRENCE RD,150,550,
EP,LAWRENCE RD,572,2261,
LES,LAWRENCE RD,2270,3801,
LES,ALL OF LAW.PREP,,,
BF,LVILLE-PENNGTON RD,10,202,odds
LES,LVILLE-PENNGTON RD,20,202,evens
SL,LAWRENC SQ BLVD,,,
LES,LAWRENCE STATION RD,,,
BF,LAWRENCIA DR,,,
BF,LENOX DR,,,
BF,LEWISVILLE RD,,,
SL,LITHO RD,,,
BF,LITTLE CR,,,
EP,LOCUST AVE,,,
EP,LOMBARD AVE,,,
LES,LOST TRAIL,,,
BF,LOTUS LANE,,,
SL,LUCERNE DR,,,
