Street,Zip,"",Lo,High,School,Odd/Even
Aberfeldy Drive,08618,"","","",Jefferson Elementary,""
Aberfeldy Drive,08618,"","","",Kilmer Middle School,""
Abernethy Drive,08618,"","","",Jefferson Elementary,""
Abernethy Drive,08618,"","","",Kilmer Middle School,""
Academy Street,08608,"","","",King Elementary,""
Academy Street,08608,"","","",Rivera Middle,""
Adam Avenue,08618,"","","",Gregory Elementary,""
Adam Avenue,08618,"","","",Kilmer Middle School,""
Addie Alley,08618,"","","",King Elementary,""
Addie Alley,08618,"","","",Rivera Middle,""
Adeline Street,08611,"",1,699,Columbus Elem (Harrison),""
Adeline Street,08611,"",700,1220,Franklin Elementary,last odd 1141/last even 1220
Adeline Street,08611,"",1,1220,Dunn Middle,last odd 1141/last even 1220
Afton Avenue,08618,"","","",Jefferson Elementary,""
Afton Avenue,08618,"","","",Kilmer Middle School,""
Alden Avenue,08618,"","","",Jefferson Elementary,""
Alden Avenue,08618,"","","",Kilmer Middle School,""
Allen Street,08618,"","","",King Elementary,""
Allen Street,08618,"","","",Rivera Middle,""
Amtico Square,08609,"","","",Wilson Elementary,""
Amtico Square,08609,"","","",Rivera Middle,""
Anchor Court,08609,"","","",Grant Elementary,""
Anchor Court,08609,"","","",Rivera Middle,""
Anderson Street,08611,"",1,99,Robbins Elementary,""
Anderson Street,08611,"",100,599,Washington Elementary,""
Anderson Street,08611,"",600,End,Franklin Elementary,""
Anderson Street,08611,"",1,99,Hg-Wms. Middle,""
Anderson Street,08611,"",100,End,Dunn Middle,""
Anderson Street- North,08609,"","","",Robbins Elementary,""
Anderson Street- North,08609,"","","",Hg-Wms. Middle,""
Arch Street,08611,"","","",Columbus Elem (Harrison),""
Arch Street,08611,"","","",Dunn Middle,""
Ardmore Avenue,08629,"","","",Robeson Elementary,""
Ardmore Avenue,08629,"","","",Hg-Wms. Middle,""
Argyle Avenue,08618,"","","",Jefferson Elementary,""
Argyle Avenue,08618,"","","",Kilmer Middle School,""
Arlington Avenue,08618,"","","",Jefferson Elementary,""
Arlington Avenue,08618,"","","",Kilmer Middle School,""
Artisan Avenue,08618,"","","",Gregory Elementary,""
Artisan Avenue,08618,"","","",Kilmer Middle School,""
Asbury Place,08611,"","","",Parker Elementary,""
Asbury Place,08611,"","","",Dunn Middle,""
Asbury Street,08611,"","","",Parker Elementary,""
Asbury Street,08611,"","","",Dunn Middle,""
Ashmore Avenue,08611,"",1,199,Washington Elementary,""
Ashmore Avenue,08611,"",200,End,Franklin Elementary,""
Ashmore Avenue,08611,"","","",Dunn Middle,""
Atterbury Avenue,08618,"","","",Kilmer Middle School,""
Bank Street,08618,"","","",King Elementary,""
Bank Street,08618,"","","",Rivera Middle,""
Barbara Street,08609,"","","",King Elementary,""
Barbara Street,08618,"","","",Rivera Middle,""
Barlow Street,08609,"","","",Robbins Elementary,""
Barlow Street,08609,"","","",Hg-Wms. Middle,""
Barnes Street,08618,"","","",King Elementary,""
Barnes Street,08618,"","","",Rivera Middle,""
Barnt Avenue,08611,"","","",Columbus Elem (Harrison),""
Barnt Avenue,08611,"","","",Dunn Middle,""
Barrack Street,08608,"","","",Parker Elementary,""
Barrack Street,08608,"","","",Dunn Middle,""
Bayard Street,08611,"","","",Washington Elementary,""
Bayard Street,08611,"","","",Dunn Middle,""
Beakes Street,08638,"","","",King Elementary,""
Beakes Street,08638,"","","",Rivera Middle,""
Beatty Street,08611,"",1,99,Washington Elementary,""
Beatty Street,08611,"",100,End,Columbus Elem (Harrison),""
Beatty Street,08611,"","","",Dunn Middle,""
Beaver Lane,08609,"","","",Grant Elementary,""
Beaver Lane,08609,"","","",Rivera Middle,""
Beechwood Avenue,08618,"","","",Jefferson Elementary,last odd 301/last even 300
Beechwood Avenue,08618,"","","",Kilmer Middle School,last odd 301/last even 300
Bellevue Avenue,08618,"",1,344,Gregory Elem (Monument),""
Bellevue Avenue,08618,"",345,899,Gregory Elementary,""
Bellevue Avenue,08618,"",900,End,Jefferson Elementary,""
Bellevue Avenue,08608,"",1,344,Rivera Middle,""
Bellevue Avenue,08618,"",345,End,Kilmer Middle School,""
Belmont Circle,08618,"","","",Jefferson Elementary,""
Belmont Circle,08618,"","","",Kilmer Middle School,""
Belvidere Street,08618,"","","",Gregory Elem (Monument),""
Belvidere Street,08618,"","","",Rivera Middle,""
